,uniq_id,mu0,mu1,rew_max0,rew_max1,angle,target_dot,rew,participant,session_within_participant,session,angle_diff,prior_angle_diff,angle_keep,target_change,prior_rew,color_arm0,alpha,gamma,beta,init_q,q0,q1,lik0,lik1,max_lik,prior_max_lik,target_lik,prior_target_lik
0,00093xxsko4,20.0,210.0,2.014062653749062,2.110778002489344,204.7741898784366,1,2,0,0,0,5.225810121563399,360.0,-1.0,-1.0,-1,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,10.0,3.2321402800410013,0.5,0.5,0.5,0.5,0.5,0.5
1,00082xxnSuW,20.0,100.0,2.852779152537769,1.0,40.50556943821343,0,2,0,0,0,20.505569438213428,5.225810121563399,1.0,1.0,2,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,3.2321402800410013,3.385549943811704,0.9999990758904052,9.24109594761112e-07,0.9999990758904052,0.5,0.9999990758904052,0.5
2,00914xx92R6,250.0,140.0,1.0,1.5401710341287886,232.8131347840396,0,1,0,0,0,17.186865215960438,20.505569438213428,0.0,0.0,2,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,1.3437887437175648,3.5354822120819005,0.4219068516446632,0.5780931483553369,0.5780931483553369,0.9999990758904052,0.4219068516446632,0.9999990758904052
3,00050xxcnrE,10.0,140.0,1.6609315401422595,1.0,158.3769722156447,1,1,0,0,0,18.37697221564472,17.186865215960438,1.0,1.0,1,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,1.5400023937195328,1.3905087203541964,0.0109918052949462,0.9890081947050536,0.9890081947050536,0.5780931483553369,0.9890081947050536,0.4219068516446632
4,00460xxKuKT,120.0,280.0,1.0,5.863473605471943,279.0261598615808,1,6,0,0,0,0.9738401384191776,18.37697221564472,0.0,0.0,1,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,1.731768393900207,5.290057515481333,0.5761310718018531,0.4238689281981469,0.5761310718018531,0.9890081947050536,0.4238689281981469,0.9890081947050536
5,00102xxnByL,20.0,300.0,2.004452939670859,1.3849861303694535,273.1020639400466,1,1,0,0,0,26.897936059953395,0.9738401384191776,0.0,0.0,6,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,1.9191875608385176,1.6607440835646463,0.0006715990964438,0.999328400903556,0.999328400903556,0.5761310718018531,0.999328400903556,0.4238689281981469
6,00097xx5haB,20.0,250.0,4.822446112536203,1.0,45.493429492623775,0,3,0,0,0,25.49342949262377,26.897936059953395,1.0,1.0,1,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,2.833535932317472,1.8497731856994548,0.6296195797715642,0.3703804202284356,0.6296195797715642,0.999328400903556,0.6296195797715642,0.999328400903556
7,00241xxvluP,60.0,250.0,2.266132945387343,1.9295239054158029,67.01246696222161,0,2,0,0,0,7.012466962221609,25.49342949262377,1.0,0.0,3,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,2.128379149633736,2.0345174929062813,0.8828466307033426,0.1171533692966574,0.8828466307033426,0.6296195797715642,0.8828466307033426,0.6296195797715642
8,00534xxyzLA,140.0,300.0,4.897740001230564,1.0,312.2655751692489,1,1,0,0,0,12.265575169248905,7.012466962221609,0.0,1.0,2,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,2.3068081889390086,1.1593338341771076,0.5480260394133125,0.4519739605866876,0.5480260394133125,0.8828466307033426,0.4519739605866876,0.8828466307033426
9,00681xxE6Xh,180.0,330.0,3.4481032593256296,2.935812429180962,346.5289939115473,1,2,0,0,0,16.528993911547275,12.265575169248905,0.0,0.0,1,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,2.4811927089930883,1.8705226693777484,0.9133916036492228,0.0866083963507772,0.9133916036492228,0.5480260394133125,0.0866083963507772,0.4519739605866876
10,00682xxSsth,180.0,340.0,2.231642203364012,1.0,164.61966970546098,0,2,0,0,0,15.38033029453902,16.528993911547275,1.0,1.0,2,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,2.074112114901554,2.054796640105065,0.777940941802858,0.222059058197142,0.777940941802858,0.9133916036492228,0.777940941802858,0.0866083963507772
11,01192xxzzLm,330.0,40.0,1.0,3.5692952909726268,66.82794269583061,1,2,0,0,0,26.82794269583061,15.38033029453902,0.0,1.0,2,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,2.253771245830557,2.0084396434355454,0.5099123815508856,0.4900876184491143,0.5099123815508856,0.777940941802858,0.4900876184491143,0.777940941802858
12,00876xxrFGt,240.0,120.0,4.370487527523384,6.207461627060017,101.67208015247616,1,5,0,0,0,18.327919847523845,26.82794269583061,0.0,0.0,2,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,2.429357974551241,4.539247248062889,0.6233205707229661,0.3766794292770338,0.6233205707229661,0.5099123815508856,0.3766794292770338,0.4900876184491143
13,00866xxnw7L,240.0,20.0,2.690111054746751,10.0,44.87484425139672,1,6,0,0,0,24.874844251396723,18.327919847523845,1.0,0.0,5,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,2.6009646117614285,5.775018461894693,0.0129758014173613,0.9870241985826388,0.9870241985826388,0.6233205707229661,0.9870241985826388,0.3766794292770338
14,00787xx4n94,210.0,310.0,1.0,8.61986554627167,333.5633013770844,1,6,0,0,0,23.56330137708437,24.874844251396723,0.0,0.0,6,0,0.8459824649948748,0.0226673823215165,2.05300269422008,10.0,2.7686813757170627,5.965348898079359,0.001476886557877,0.9985231134421227,0.9985231134421227,0.9870241985826388,0.9985231134421227,0.9870241985826388
